club,leagueCountry,birthday,position,redCards,meanIAT_redCards,ties,meanExp_yellowReds,yellowCards,meanIAT_yellowCards,meanExp_redCards,skin_color,height,meanExp_yellowCards,victories,meanIAT_yellowReds,defeats,games,goals,weight
34,3,6584.0,3,0,-0.0015762736568424591,30,-0.0023713013818157298,32,0.03461874723102008,-0.012534923139405177,0,174.0,0.05505939071424865,57,-0.001490962433124114,54,141,16,66.0
9,0,7800.0,9,0,-0.001415335719696559,15,-0.00151456506979336,3,-0.015466698534198981,-0.0020479814817940963,1,180.0,-0.018658553194463967,6,-0.0013387347933945428,13,34,2,72.0
31,3,8604.0,9,0,-0.0015762736568424591,5,-0.0023713013818157306,5,0.0431446634090932,-0.0025069846278810352,0,185.0,0.0686194351292825,5,-0.0014909624331241142,10,20,4,77.0
25,3,6460.0,5,0,-0.0014215467495677994,64,0.002108128840231807,67,0.02002230825226088,-0.010622298076132554,1,182.0,0.024119073625657177,208,0.001265485897398231,73,345,11,74.0
35,3,8323.0,3,1,0.0038705648969048962,12,-0.002337936138479468,8,-0.006221031723885854,0.011689613011078641,0,180.0,-0.011549134373274858,30,-0.0014841266921487,26,68,3,68.0
26,2,4550.0,0,2,0.0003679080403859322,81,-0.0017404355341020033,48,-0.00188999789906915,0.0036944730212151436,0,188.0,-0.003172996494826368,243,-0.0013846933649931642,47,371,38,92.0
36,0,6981.0,6,0,-0.001485557719129181,26,0.0014487726010207706,18,-0.0015406476682193232,-0.00991822774154728,0,174.0,-0.0029102237559015354,54,0.0011522350695701545,58,138,12,75.0
13,1,7388.0,10,0,-0.0014396485895491475,43,0.00039568347658633547,25,0.0006169868194913664,-0.005552976943963021,0,183.0,-0.00022775671013307349,85,0.00045787989002838916,57,185,36,85.0
37,1,8493.0,5,0,-0.0014345155289618207,7,-0.0013542111115577456,2,-0.033284614203523494,-0.0027646573875434077,0,183.0,-0.0332192301170275,25,-0.0013568765513087572,26,58,2,72.0
38,1,4574.0,0,3,0.00166443252909161,90,0.003469764296498659,42,-0.0014064785612708105,0.03884506956304386,0,193.0,-0.0012187252271661307,132,0.0028806596635973514,103,325,31,92.0
39,1,2711.0,4,1,-0.0004895064117323196,96,-0.0018754982542233817,11,-0.035345265694602036,-0.0016634379430623613,0,188.0,-0.04464870850824641,115,-0.0014545380265712715,111,322,0,83.0
37,1,4764.0,1,0,-0.0014373918881126569,85,0.0006418793069554886,39,-0.006547437168043408,-0.01880965705711264,0,196.0,-0.007114658292453952,121,0.0005799286306847365,136,342,106,84.0
40,1,7768.0,2,0,-0.0015459308856413411,23,0.005542448185679052,14,0.001452503676389206,-0.0072725608158167735,0,173.0,0.009509616495744076,49,0.0021842580548759893,31,103,6,72.0
41,1,8188.0,4,0,-0.0014384837024042376,22,-0.001385422512441344,1,-0.04123432507719687,-0.0028481329653111745,0,189.0,-0.04206202075475679,41,-0.0013606299589135095,26,89,0,83.0
42,0,5937.0,5,0,-0.0014520963724856822,54,-0.001968708380713741,34,0.008474991852579312,-0.007000956021443033,1,180.0,0.012200796442063452,88,-0.0013735058828483206,72,214,11,68.0
7,2,4550.0,11,2,0.0014744830855477856,53,-0.0015597185753069285,33,0.0034863457460802905,-0.010980296755640823,1,176.0,-0.0004965253285741377,111,-0.0013819175588381727,65,229,68,70.0
43,2,7817.0,9,1,0.00106482726569219,31,0.0027060273108719898,18,-0.004648071904604989,-0.003592293155234157,1,174.0,0.003915902620384237,77,0.0029947398923004143,45,153,42,73.0
21,3,5694.0,0,4,0.0042323827749051815,57,0.012872089244564,77,0.06247837644468768,0.04215780866500942,0,183.0,0.10075919090059253,96,0.008499609645708901,102,255,16,80.0
25,3,6927.0,11,2,0.0004125353559440594,67,0.0007210593737568247,60,0.010305896027159306,-0.0071559552295254545,0,170.0,0.018970495183426344,215,0.0005159145417919859,91,373,96,73.0
44,3,6170.0,1,0,-0.0015713238741191973,51,-0.002341760471017133,25,-0.008436654062662193,-0.014778752870156541,0,175.0,-0.012687074094421472,91,-0.0014862805429837337,85,227,53,73.0
33,3,8308.0,2,1,0.0018922555403010329,21,-0.0022414724037922626,18,0.013684278943613095,0.031272764424793466,1,174.0,0.02389007206821717,38,-0.0014497330241445515,49,108,7,68.0
13,1,6818.0,5,2,0.004352547174529475,27,-0.0016029376351510373,27,0.033112684933842534,0.012227120192087451,0,169.0,0.036618204597275696,46,-0.001372834585399376,43,116,3,68.0
45,0,4213.0,5,2,0.00013108539231365958,109,0.0035330756269372453,91,0.028288050049787093,-0.0074329162395434705,1,190.0,0.03128167487696447,195,0.0027667526911176717,116,420,24,79.0
26,2,8458.0,4,0,-0.0014487433627384688,14,-0.0015820669684229378,0,-0.04533773517866317,-0.002314911772036798,0,190.0,-0.05234294353876745,26,-0.0013703343449942842,7,47,0,88.0
15,3,7312.0,0,2,0.0049125198825941355,34,-0.002380888054260954,43,0.0901747650002561,0.012319242480316971,0,183.0,0.14312954813501422,30,-0.0014914994667461295,50,114,3,76.0
31,3,5710.0,9,5,0.004241578425895097,58,-0.002196085497591311,27,-0.01718594690773416,0.08466018744510173,0,186.0,-0.02368572515575677,161,-0.0014547687236431972,101,320,150,87.0
46,3,3394.0,5,0,-0.0015762736568424606,78,0.0044959824105330354,45,0.015438625712194126,-0.015675970027256132,0,178.0,0.024554364128377918,80,0.002826861623535484,99,257,4,80.0
47,3,9020.0,10,0,-0.0015560552189050724,12,0.02102509744680197,9,0.011214357506350008,-0.005543194782366335,0,180.0,0.015286543916417225,19,0.006085829084207,24,55,2,69.0
21,3,7786.0,9,0,-0.001548009050920458,27,-0.002262719234811829,9,-0.024351403589621533,-0.011137576353085113,0,182.0,-0.03629014083368143,50,-0.0014642275667296725,59,136,32,71.0
44,3,7808.0,9,0,-0.00157850554920701,10,-0.002408986921772821,5,0.014376176469694413,-0.003584199442280398,0,182.0,0.02172884596660316,9,-0.0014930735308106588,10,29,3,80.0
20,3,6466.0,6,3,0.003385906700456986,51,-0.0018650327568559629,28,-0.0005190693311072394,0.03017603275013118,1,181.0,0.0021559543225571328,109,-0.0014124366693371905,53,213,4,75.0
47,3,4898.0,0,1,0.0013654698376751961,37,0.016323104972638308,40,0.06794518675290884,0.009423589747915372,0,192.0,0.1070715643263002,45,0.010257442334250345,44,126,5,86.0
40,1,8618.0,2,0,-0.0014479244787064507,22,-0.0015136741293529869,1,-0.04180015535560383,-0.0022289035752481932,0,168.0,-0.048277373875392035,47,-0.0013695597806770265,32,101,11,67.0
22,2,6318.0,6,0,-0.0012373524945440912,25,-0.014372503685448972,19,0.02212362419397009,-0.00018178959769020515,1,186.0,0.03348487406248083,41,0.0008885527034016078,31,97,12,81.0
27,3,5566.0,0,4,0.003862988757371965,65,0.017069877997109604,93,0.07574815068153477,0.06711628547869469,0,192.0,0.11794149607185403,98,0.010518937970230844,111,274,5,85.0
48,1,3375.0,5,2,0.00012248723239823126,83,0.001409092428842567,62,0.006639079146452253,-0.00409391372189127,0,181.0,0.011658203209016723,229,0.0003365128758448291,94,406,23,75.0
27,3,7165.0,1,4,0.004866474742413091,57,0.00022090376218253784,62,0.05035608196763066,0.08644085011925412,0,182.0,0.08180786307367602,101,0.0001265556314195975,72,230,21,73.0
36,0,5216.0,4,0,-0.0014502061129265218,20,-0.002380755388429761,1,-0.04197745000066413,-0.008820167852066798,0,193.0,-0.07183943758948312,50,-0.001371717928085942,30,100,0,80.0
44,3,7236.0,0,0,-0.0015745070685902571,7,0.037365742418700935,3,-0.014655148063697153,-0.0038515970766154267,0,188.0,-0.02309893077126205,5,0.021569836259361274,20,32,1,81.0
36,0,6677.0,3,0,-0.001457028828801887,27,-0.0017585776007161794,19,-0.01566192575382235,-0.009976771853149623,1,176.0,-0.014387716322462553,148,-0.0013781713843229937,45,220,13,69.0
49,2,7290.0,1,1,-7.639450253477367e-05,66,-0.0014490098356032216,45,0.01735345554354274,-0.0053752187318324525,1,176.0,0.023928175330039814,107,-0.0013591302144117616,73,246,56,72.0
11,1,7554.0,7,2,0.0035158986275487802,28,0.001116133685503289,15,-0.0077643757070291735,0.0021404575710771887,0,180.0,-0.0077491234162947314,60,0.0011183305269465448,48,136,32,74.0
50,1,8459.0,5,1,0.0011890944998456804,24,0.0011535955630226512,35,0.04663265768580359,0.0019352660090318386,0,187.0,0.04438244596276168,51,0.0012670743109148125,53,128,11,79.0
51,2,3678.0,0,3,0.0022851444019416577,82,0.001063265671461176,53,0.02136950070973095,0.01805888925576984,1,184.0,0.023754779587910217,89,0.0011231619802417204,99,270,21,76.0
49,2,5817.0,9,0,-0.001440602844165683,94,-0.0014895941827342046,31,-0.010875844703838204,-0.012498591518346529,0,186.0,-0.013445225320382238,115,-0.0013626344082951676,94,303,101,84.0
3,0,4814.0,6,1,0.0003548726496111315,47,-0.0018351759457253547,44,0.03243753524674827,-0.0012801523290419561,0,180.0,0.0483763482348138,108,-0.0014357952855151828,42,197,28,74.0
10,3,7000.0,3,0,-0.0016330843497794614,34,0.002854810339934425,22,0.010094416792220723,-0.01072900310969176,0,178.0,0.021691665868387243,52,0.0013100000056680875,53,139,4,72.0
52,1,7614.0,10,1,-0.00016594139223310156,55,-0.0015612659238852893,11,-0.03126253369142402,0.002245994165486622,0,184.0,-0.03635116386460803,137,-0.0013722623704329727,70,262,85,74.0
53,1,7212.0,4,1,0.0020004657224945146,31,-0.0013542111115577456,4,-0.031152556875033356,0.0032041774579344004,0,189.0,-0.03109136098852454,31,-0.0013568765513087575,36,98,0,86.0
29,1,6280.0,8,0,-0.0014441953252512178,72,-0.0003386864819442816,57,0.01974678224563466,-0.011633251833599726,0,180.0,0.016692950672928548,125,-0.0002287751505729421,99,296,7,70.0
17,1,5035.0,1,1,-0.0007374143849438412,122,-0.0017308535883347519,62,0.00022593684018251407,-0.004463195188708958,0,184.0,-0.00021304361087335545,188,-0.0013896977671416012,150,460,76,82.0
11,1,5401.0,5,1,-0.0002895217784763753,74,0.003216767016337505,62,0.02609713064923893,-0.0051749214325160844,0,172.0,0.026045865610166124,132,0.003223098450633021,88,294,39,69.0
39,1,5538.0,5,1,-0.00030721004728661037,69,-0.001469759383757936,23,-0.018908292753778037,-0.00609406089777566,0,185.0,-0.019415926314240654,153,-0.0013662897623213128,74,296,19,77.0
54,0,7886.0,9,0,-0.0014308752473471244,37,-0.0016799393732456669,12,-0.017793250860537724,-0.0064971738257551545,0,179.0,-0.017862183412976122,50,-0.001353433289340925,61,148,32,72.0
20,3,6114.0,7,0,-0.0015221669312830786,83,-0.00048197796813314074,45,-0.0046067242552020144,-0.011702805455334477,0,169.0,-0.00506260724192124,177,-0.0004650006675081341,117,377,45,67.0
34,3,6282.0,0,0,-0.0015727474908506388,17,-0.002376723765071809,17,0.014298696381706513,-0.007020224988694231,0,187.0,0.022386457276475903,43,-0.001487627110603216,39,99,3,83.0
3,0,4166.0,9,2,0.00034421760719854737,92,-0.002550999226638787,34,-0.01330573875469142,-0.0035434141770894897,0,172.0,-0.02243513705734047,188,-0.0014335106717618127,78,358,85,69.0
33,3,4131.0,9,0,-0.0015716285428097304,55,0.007278685885726206,38,0.00973673225285631,-0.009572549400854752,0,188.0,0.015415152219228763,94,0.004798536339156497,89,238,56,84.0
11,1,3488.0,9,1,-0.0007694766302253872,111,0.0017815016738258875,61,-0.00011997764926234707,-0.010691309684882166,0,174.0,0.005763979865250474,198,0.0002262260726445716,153,462,121,81.0
55,0,7866.0,7,1,0.0006592192770673263,33,-0.001561095566640456,15,-0.012709567218615556,0.00894304436080998,0,183.0,-0.016474288589262184,67,-0.001332209398630538,58,158,17,76.0
19,0,4058.0,9,0,-0.0014066003733383078,101,0.0006085965024594473,30,-0.017768375116613676,-0.012349560409945585,0,170.0,-0.020502934477365918,149,0.0004791914715463466,128,378,134,70.0
47,3,4086.0,8,2,0.00033868770527524733,93,0.005241852296110962,87,0.03286665341939065,0.016148968954474846,0,180.0,0.051299733559026055,157,0.003275934624888339,139,389,9,71.0
18,3,6618.0,10,3,0.0013135348609303553,79,0.0020634519505359572,62,0.009950409429142658,0.012054367584150596,0,180.0,0.02014562873843602,242,0.001350007105771826,70,391,69,70.0
56,3,6324.0,9,0,-0.0015745543043142205,44,0.0009423168198231557,18,-0.011498856657769969,-0.011044238185523816,0,172.0,-0.015434203339488825,64,0.0006004581818945935,69,177,43,68.0
28,3,4576.0,0,0,-0.0015739229419332785,45,-0.0023746387072248647,27,0.006375218049346304,-0.013490825471468787,0,192.0,0.010756223980071377,74,-0.0014887389438173182,60,179,11,84.0
57,3,6045.0,5,1,0.0004967265249410786,43,-0.0020379113682264718,31,0.016072178664889702,0.029170104864468523,1,175.0,0.02705647338607029,91,-0.0013606789994548179,42,176,1,64.0
58,2,5389.0,11,3,0.0017845146475483702,81,-0.0014104221754583388,27,-0.015638849910232663,0.007770078924604251,0,184.0,-0.01725622505602076,84,-0.0013462852640742926,148,313,46,73.0
43,2,7578.0,4,0,-0.0014338227116600455,12,-0.001610455300869079,3,-0.02642529168859636,-0.0032807709616304364,0,184.0,-0.03423314857947868,27,-0.0013562212307269025,15,54,0,81.0
4,2,6478.0,7,0,-0.0014306109337561275,60,-0.0014069568502417642,19,-0.010582149531052656,-0.00988086518309316,0,174.0,-0.012216502650812191,61,-0.0013531832809537188,65,186,20,65.0
43,2,3600.0,8,1,-0.0008618319229961878,138,-0.0009951656120683915,91,0.00978647180343542,-0.009578228076305558,0,180.0,0.01359505582532185,285,-0.0007830140810943867,140,563,9,77.0
28,3,7749.0,10,0,-0.0015700977232319265,53,-0.002392643889537833,29,-0.00015411870729891558,-0.016839189409592257,0,176.0,-0.0012586293833138401,94,-0.001485120753944359,72,219,58,68.0
59,0,4593.0,0,3,0.003768935132001317,60,0.0038322032295032603,43,0.02306337983116309,0.018168602507153155,0,184.0,0.03422115517600187,87,0.0032816031440467963,69,216,14,78.0
19,0,5527.0,0,0,-0.0013981913013947885,68,-0.0014241260648910053,31,-0.011263085877978668,-0.0172176698082829,0,178.0,-0.011230003061522545,120,-0.001322518266832202,129,317,5,78.0
41,1,6369.0,3,0,-0.0015454655072285055,36,-0.002668749057973873,24,0.01256642507465947,-0.005755468410234711,0,180.0,0.02510094788322255,39,-0.0014618216849367155,64,139,11,74.0
44,3,4273.0,6,3,0.0016591946410267338,92,0.0012154591651501888,61,0.016198825515773337,0.02187313535396329,0,176.0,0.025737708198907874,138,0.0005824087831476105,114,344,16,74.0
53,1,8462.0,0,3,0.007486711587667034,26,0.0014143901416026842,24,0.026061199298191118,0.020094242842921318,1,190.0,0.027650373021011698,40,0.0016071853195421836,47,113,8,85.0
46,3,5138.0,8,0,-0.0014902547737605154,70,0.0005944754292457777,37,0.004669077360683122,-0.006597818120293765,0,177.0,0.005532989524889454,95,7.591737079940942e-05,84,249,3,74.0
36,0,5694.0,11,3,0.0015588635204288645,68,0.002633006605186139,48,0.002191344040878339,-0.00486063637671611,1,175.0,0.00507401537511625,171,0.00158949883712888,105,344,36,70.0
15,3,5156.0,5,1,0.000574270495408541,43,-0.0023713013818157306,45,0.0474457517135952,-0.01162157456063188,0,173.0,0.07546010154259113,65,-0.0014909624331241136,64,172,31,72.0
15,3,3860.0,9,1,0.0002866758297605817,40,0.000596059290924805,37,0.0191350133243049,-0.010373194163287074,0,184.0,0.03044915515208245,73,0.0003717604060389975,86,199,35,82.0
10,3,3547.0,4,4,0.002429206559693979,90,-0.0007563907468119662,36,-0.013142317488855032,0.044880008718918216,0,184.0,-0.01985851904143429,143,-0.0004849783259545241,137,370,1,80.0
18,3,4764.0,8,0,-0.0015105990019752766,71,0.0051866103674647526,85,0.03698199887291556,-0.014854665225106391,0,184.0,0.05510009969496549,244,0.0036001107955199313,49,364,6,79.0
23,3,6238.0,10,3,0.0014694247254924218,84,-0.0012121796308784925,75,0.022410122265325697,0.0050737307305594465,0,177.0,0.02647931044555304,209,-0.0005254082187051722,92,385,71,76.0
39,1,5375.0,9,2,0.0013582511851887474,68,0.0008769972995625304,22,-0.013529466136162877,0.006468514545043435,1,190.0,-0.011317005172039865,87,0.00013788400161230215,84,239,72,96.0
44,3,5175.0,9,0,-0.0015694072396292135,72,0.0020222792643828434,35,-0.0014378887773269784,-0.01470549017057845,0,189.0,-0.0033545311939558067,100,0.0012554849087777116,98,270,36,76.0
48,1,5135.0,11,2,-0.00020850558001110734,80,1.731184456849472e-05,50,-0.012863173079713894,0.0013594032038803017,0,180.0,-0.014095071068741713,347,-6.446539185346126e-05,94,521,170,80.0
19,0,7220.0,6,0,-0.0014147611039064204,40,0.0008875447378546977,10,-0.02179872669961612,-0.008196362534714513,1,185.0,-0.02506269555932857,48,0.0008691714508717222,60,148,3,82.0
43,2,5506.0,5,0,-0.0014302799370675596,60,-0.0014324636123912724,10,-0.029514064623454062,-0.007639412692942251,1,172.0,-0.031953318462775555,78,-0.0013528701984975098,81,219,15,67.0
59,0,5062.0,9,0,-0.0015146319054083115,61,-0.001926294045825913,12,-0.034125737165593126,-0.008804969867622648,1,181.0,-0.04438274264620496,160,-0.0014326568620696627,107,328,95,81.0
57,3,7060.0,0,2,0.0034222884267679715,30,0.013528625957226,48,0.0706367548689506,0.022392959107262692,0,185.0,0.11234423531164724,52,0.008506161734096756,66,148,5,77.0
27,3,9041.0,4,0,-0.001558264603794602,7,-0.002274300778562024,2,-0.025264777720135197,-0.002825913443616093,0,186.0,-0.03408316187320295,18,-0.0014739280676546805,6,31,0,81.0
53,1,4839.0,6,2,0.0003364517684865149,95,0.0007871715301054631,66,0.011679082836427258,-0.0023738285049639913,1,166.0,0.014390103672459159,147,0.0004103087151396666,148,390,12,67.0
60,1,6586.0,11,0,-0.0015054863543866787,30,0.0004944208196390278,17,-0.008323662778939839,-0.00834618502628422,0,183.0,-0.01215111216578932,62,0.0008238917989119602,65,157,59,81.0
61,0,3702.0,4,0,-0.0014757338388179685,84,-0.001786610752352215,24,-0.022400616746620455,-0.01164601523286672,0,193.0,-0.027324705792383826,190,-0.0013958640401154235,90,364,0,88.0
62,1,7467.0,9,1,0.0004617050737551076,35,0.0047466961593178435,26,0.007036120565264072,-0.004392611309281559,0,185.0,0.01422870959473199,70,0.0009031758580196644,66,171,45,81.0
23,3,7118.0,4,0,-0.0015574584399377135,31,0.0017121564548417132,5,-0.03640965453971154,-0.009192134361231868,0,189.0,-0.056417417979855174,62,0.0010261155067351193,55,148,0,85.0
0,0,6029.0,10,4,0.002764159789780402,71,-0.00043436906732810765,55,0.013467787311852959,0.0061473246242208035,0,181.0,0.015143222799904753,130,-0.0003135935943910732,119,320,56,74.0
63,0,4006.0,6,3,9.272465493376128e-05,146,-0.0011432614503669462,106,0.009041607881421507,-0.0014048499813361427,0,170.0,0.011047597642969729,404,-0.0008681829769243728,112,662,16,67.0
36,0,5668.0,7,2,0.00015131302614897888,114,-0.0006532439868643385,57,0.0009046378519182764,0.0011826345159501386,1,180.0,0.0010037406254181952,193,-0.0005521685400257225,112,419,77,65.0
64,0,6379.0,4,1,0.0002819798673980018,52,-0.0015562661622712786,11,-0.024946696943622417,0.011244806107262542,0,198.0,-0.026484397852182647,68,-0.0013427010319220047,72,192,1,83.0
1,1,5868.0,0,1,-3.771817359783258e-05,60,0.002827949374753052,21,-0.015559737418214956,9.299048646213916e-05,1,190.0,-0.015529171968034685,94,0.002833515514783203,87,241,13,89.0
65,1,6660.0,8,1,-0.00014061561424500913,56,-0.0015544726601654513,35,-0.00019328984613599092,-0.002436564440140821,0,176.0,-0.0016894859071843588,135,-0.0013843066889408125,67,258,6,62.0
34,3,5943.0,2,1,-0.0002325123787627353,65,0.004173815388963803,50,0.018823082778609997,-0.01243908720101015,0,177.0,0.03340778384540955,116,0.0025725717027091665,92,273,31,71.0
