playerShort,club,leagueCountry,birthday,position,yellowCards,redCards,victories,goals,meanIAT_yellowCards,meanIAT_redCards,meanExp_yellowReds,games,meanExp_redCards,ties,meanExp_yellowCards,height,defeats,meanIAT_yellowReds,weight,skin_color
jaime_11,Real Valladolid,Spain,3996.0,Goalkeeper,7,1,44,0,-0.02317464261941492,0.0021600252743410944,-0.0023713013818157298,99,0.0034354124584274888,28,-0.036858113152693835,188.0,27,-0.001490962433124114,80.0,0.0
jaime_5,Granada CF,Spain,7516.0,Left Midfielder,19,1,29,7,0.007593420306669082,0.0014277540204344482,0.0073716040693533194,123,0.0024631490607175286,26,0.011198927458477462,176.0,68,0.004520505447856501,74.0,0.0
jake-livermore,Tottenham Hotspur,England,7257.0,Center Midfielder,18,0,58,6,-0.0015710857805194569,-0.0014090930475874632,-0.0015486084106369608,139,-0.0016372180735210458,21,-0.004408316780340181,180.0,60,-0.0013328299877432086,77.0,0.25
jakub-blaszczykowski,Borussia Dortmund,Germany,5826.0,Right Midfielder,22,0,159,46,-0.02188236127689092,-0.0014692702634559287,-0.0005882707485346765,311,-0.0017640227417922906,73,-0.025492417103820733,175.0,79,-0.0003073446192952586,71.0,0.0
jamel-saihi,Montpellier HSC,France,6235.0,Defensive Midfielder,26,2,59,2,0.02962494810084907,0.004174170366991081,-0.001283878991682124,120,0.0042443415893234455,29,0.04344396613808541,181.0,32,-0.0013279128567108554,69.0,0.0
james-collins,West Ham United,England,4982.0,Center Back,54,1,117,17,0.009312800124152,-0.0003951676052665285,-0.0005173021542066726,335,0.0001980536493241201,93,0.01199329850532355,188.0,125,-0.00035916293156354505,83.0,0.0
james-mcclean,Sunderland AFC,England,7051.0,Left Winger,16,0,48,15,-0.007121394443585179,-0.0014225636263816642,0.0008954379392901202,141,-0.0017259571806992617,42,-0.015091441881385132,180.0,51,0.0009713766008689296,70.0,0.125
james-milner,Manchester City,England,5847.0,Right Midfielder,60,1,265,55,-0.006981267426056052,-0.0008148289202193248,-0.0016016768309097611,537,-0.0010295510133901677,121,-0.00961001192352467,170.0,151,-0.00134616360296921,67.0,0.25
james-tomkins,West Ham United,England,7027.0,Center Back,19,1,77,7,-0.012833491596438228,0.00022844468247281663,0.0003052716011018811,201,0.0002212691467748339,45,-0.01487811816166415,191.0,79,0.00030404659117747794,74.0,0.0
jamie-carragher,Liverpool FC,England,2949.0,Center Back,96,3,408,4,-0.0025741903873966097,-0.0001296901458453134,-0.0016045259018327568,758,-0.0002856006864423253,175,-0.0025849482970620773,185.0,175,-0.0013456600499987318,83.0,0.25
jan-ingwer-callsen-bracker,FC Augsburg,Germany,5379.0,Center Back,40,0,98,16,0.009885531067295002,-0.0014409986804756933,-5.630298780593498e-05,246,-0.0015033885944628117,52,0.009428081057455105,189.0,96,5.398344097279355e-06,81.0,0.0
jan-kirchhoff,1. FSV Mainz 05,Germany,7578.0,Center Back,18,0,75,7,-0.0023734979031806826,-0.0014510297693285366,-0.0015008784503802925,143,-0.001586757057654214,31,0.0005284705749725925,195.0,37,-0.001372497006482561,82.0,0.125
jan-moravek,FC Augsburg,Germany,7244.0,Attacking Midfielder,22,0,52,10,0.020194232083607662,-0.0014488305721065287,-0.0015318247402664967,113,-0.0016194740600688387,19,0.02044283019744963,180.0,42,-0.0013704168344091329,75.0,0.125
jan-mucha,Everton FC,England,4721.0,Goalkeeper,10,0,77,0,-0.025630558416114287,-0.0015633734230074668,-0.0029840851802691673,156,-0.0031548312384881596,33,-0.05543753387203752,189.0,46,-0.00147876038689756,87.0,0.25
jan-polak,VfL Wolfsburg,Germany,4090.0,Defensive Midfielder,46,1,160,21,0.001982339634623235,-0.00036549445043458927,0.002861156227541374,324,-0.00021006282941544147,76,-0.001340263622174114,181.0,88,0.0018880913750595326,77.0,0.0
jan-rosenthal,SC Freiburg,Germany,5940.0,Attacking Midfielder,18,0,82,29,-0.014942687652215382,-0.0014443799657695453,0.0002131916312097597,205,-0.0015072465933682392,47,-0.014471652161609908,186.0,76,0.00027588149407113075,76.0,0.0
jan-schlaudraff,Hannover 96,Germany,4946.0,Left Winger,31,1,125,50,-0.00776965218190334,-0.00024901868326309106,-0.0014526207714971586,282,-0.000344366168817638,55,-0.00884779904173727,180.0,102,-0.0013646517085064837,72.0,0.125
jan-vertonghen,Tottenham Hotspur,England,6322.0,Defensive Midfielder,66,1,200,40,0.01731293993240175,-0.00038858928993882084,-0.0006524567261710736,361,0.0001943812928860762,73,0.022283204458575807,189.0,88,-0.000429628022439621,79.0,0.0
janek-sternberg,Hamburger SV,Germany,8327.0,Center Back,26,0,57,5,0.025126175948827274,-0.0014345155289618198,0.0013335240276446626,125,-0.0014316975756921233,20,0.02507681824705233,181.0,48,0.0013361487498330107,78.0,0.0
